title,url,text,category,answer
Milan Neděla,https://cs.wikipedia.org/wiki/Milan_Ned%C4%9Bla,"Milan Neděla (23. února 1934 Praha – 14. dubna 1997 tamtéž) byl český divadelní, filmový a televizní herec, dabér a moderátor.
",Moderátoři CZ,Herec
Antonín Brož,https://cs.wikipedia.org//wiki/Anton%C3%ADn_Bro%C5%BE,"Antonín Brož (* 14. prosince 1987 Jablonec nad Nisou) je český sáňkař, startující v závodech dvojic.
",Olympionici cz,Sáňkař
Gherardo Silvani,https://cs.wikipedia.org/wiki/Gherardo_Silvani,"Gherardo Silvani (1579 Florencie – 1675 tamtéž) byl italský barokní architekt a sochař. Byl aktivní zejména ve Florencii a jejím okolí.
",Italští architekti,Architekt.
Tomáš Berdych,https://cs.wikipedia.org//wiki/Tom%C3%A1%C5%A1_Berdych,"Tomáš Berdych (* 17. září 1985 Valašské Meziříčí) je český tenisový trenér a bývalý tenista, který se na profesionálních okruzích pohyboval v letech 2002–2019. Od září 2024 je kapitánem českého daviscupového týmu, když na této pozici vystřídal Jaroslava Navrátila.[2] S tenisem začal v pěti letech. Poprvé na sebe výrazněji upozornil na Letních olympijských hrách 2004, kde porazil světovou jedničku Švýcara Rogera Federera. 
",Olympionici cz,Tenista
Elizabeth Riddle Graves,https://cs.wikipedia.org//wiki/Elizabeth_Riddle_Graves,"Elizabeth Riddle Graves (23. ledna 1916 v Nashvillu v Tennessee – 6. ledna 1972 v Albuquerque v Novém Mexiku) byla průkopnicí fyziky neutronů a detekce rychlých neutronů.
",Fyzikové,Fyzik.
Peter Kondrát,https://cs.wikipedia.org//wiki/Peter_Kondr%C3%A1t,"Peter Kondrát (* 7. ledna 1969 Ilava) je bývalý český bobista.
",Olympionici cz,Bobista
Karl Taylor Compton,https://cs.wikipedia.org//wiki/Karl_Taylor_Compton,"Karl Taylor Compton (14. září 1887 – 22. června 1954) byl americký fyzik a prezident Massachusettského technologického institutu (MIT) v letech 1930 až 1948.
",Fyzikové,Fyzik
Petr Císař,https://cs.wikipedia.org//wiki/Petr_C%C3%ADsa%C5%99,"Petr Císař (16. ledna 1978 Brno – 23. dubna 2021 Brno)[1][2] byl český operní pěvec – barytonsta, sólista Janáčkovy opery Národního divadla Brno.[3][4]
",Operní pěvci cz,Pěvec
Arthur Holly Compton,https://cs.wikipedia.org//wiki/Arthur_Holly_Compton,"Arthur Holly Compton (10. září 1892, Wooster, Ohio, USA – 15. března 1962) byl americký fyzik.
",Fyzikové,Fyzik
Bohuslav Hasištejnský z Lobkovic,https://cs.wikipedia.org/wiki/Bohuslav_Hasi%C5%A1tejnsk%C3%BD_z_Lobkovic,"Bohuslav Hasištejnský z Lobkovic (asi 1461, Hasištejn u Kadaně – 14. listopadu 1510 Hasištejn) byl český humanistický básník, prozaik a cestovatel, příslušník jednoho z čelných českých šlechtických rodů, horlivý katolík, prelát, úředník a dvořan krále Vladislava II. Jagellonského.[1] Podporoval vědu a umění.
",Cestovatelé CZ,Básník.
Ben Cristovao,https://cs.wikipedia.org/wiki/Ben_Cristovao,"Ben da Silva Cristóvão, známý jako Ben Cristovao nebo Benny Cristo, (* 8. června 1987 Plzeň) je český zpěvák, textař, sportovec, a herec. V roce 2020 byl s písní „Kemama“ nominován jako reprezentant Česka na později zrušené finále soutěže Eurovision Song Contest.[1] Následující rok byl potvrzen jako český reprezentant na Eurovision Song Contest 2021 a s písní „Omaga“[2] vystoupil ve druhém semifinále.[3] Do Velkého finále po obdržení 0 bodů od zahraničních diváků a 23 bodů od mezinárodních porot však nepostoupil.[4] Cristovao zpívá v češtině a angličtině, aktivně vystupuje v Česku a na Slovensku.
",Moderátoři CZ,Zpěvák.
Otakar Štěrba,https://cs.wikipedia.org/wiki/Otakar_%C5%A0t%C4%9Brba,"Otakar Štěrba (18. listopadu 1933 – 2. března 2017) byl český ekolog, cestovatel, spisovatel, dokumentarista, vodák a horolezec. Vystudoval zoologii na Přírodovědecké fakultě Masarykovy univerzity v Brně. V roce 1991 byl jmenován prvním profesorem ekologie. Založil Katedru ekologie a zavedl odborné studium Ochrana životního prostředí na Přírodovědecké fakultě Univerzity Palackého. V letech 1990–1994 byl děkanem Přírodovědecké fakulty. Účastník prvosjezdů horských řek a horolezeckých expedicí. Se svou ženou Dinou – českou horolezkyní slovenského původu –založili projekt české Nemocnice v Pákistánu, o které natočili také dokument.[1]
",Cestovatelé CZ,Ekolog.
Andrea Spezza,https://cs.wikipedia.org/wiki/Andrea_Spezza,"Andrea Spezza (* 1580 Arogno - před 29. březnem 1628 Jičín) byl italský architekt působící v Čechách. 
",Italští architekti,Architekt
David Bohm,https://cs.wikipedia.org//wiki/David_Bohm,"David Joseph Bohm FRS (20. prosince 1917, Wilkes-Barre – 27. října 1992, Londýn) byl americko-britský fyzik. Je autorem bohmovské interpretace kvantové mechaniky, také objevil tzv. Aharonovův–Bohmův jev. Svůj doktorát obdržel jakožto student Roberta Oppenheimera a během svého života pracoval velmi blízce s mnoha významnými osobnostmi, například Albertem Einsteinem. Ačkoliv v době publikace jeho interpretace nesklidila tak velký úspěch, dnes je řazen mezi nejvýznamnější kvantové fyziky historie.
",Fyzikové,Fyzik.
Roman Horák,https://cs.wikipedia.org//wiki/Roman_Hor%C3%A1k,"Roman Horák (* 24. září 1969 v Českých Budějovicích) je bývalý český hokejový útočník.
",Olympionici cz,Hokejista
Benedikt Roezl,https://cs.wikipedia.org/wiki/Benedikt_Roezl,"Benedikt Roezl (13. srpna 1824 Horoměřice u Prahy[1][2] – 14. října 1885 Smíchov[3]) byl český cestovatel, zahradník, botanik a sběratel rostlin. Je snad nejznámějším sběratelem exotických rostlin, především orchidejí, své doby. Řada z nich byla pojmenována jím samým a nebo jeho jménem.
",Cestovatelé CZ,Botanik.
Josef Paleček (pěvec),https://cs.wikipedia.org//wiki/Josef_Pale%C4%8Dek_(p%C4%9Bvec),"Josef Václav Paleček (28. září 1842, Jestřabí Lhota[1] – 24. února 1915, Petrohrad) byl český operní pěvec, herec, pedagog a režisér dlouhodobě působící v Rusku. Při premiéře Prodané nevěsty roku 1866 jako první ztvárnil roli sedláka Krušiny.
",Operní pěvci cz,Pěvec.
Lenka Ledvinová,https://cs.wikipedia.org//wiki/Lenka_Ledvinov%C3%A1,"Lenka Ledvinová (* 11. srpna 1985 Domažlice, Československo) je česká atletka, kladivářka. Jejím největším dosavadním úspěchem je stříbro z halového mistrovství Evropy sportovců do 22 let z roku 2007.
",Olympionici cz,Atletka
Jitka Antošová,https://cs.wikipedia.org//wiki/Jitka_Anto%C5%A1ov%C3%A1,"Jitka Antošová (* 13. březen 1987 Děčín) je česká sportovkyně, mistryně Evropy, dvojnásobná juniorská mistryně světa a trojnásobná mistryně světa do 23 let na dvojskifu a vítězka Letní univerziády ve skifu (veslování).
",Olympionici cz,Veslařka
Martin Nejedlý (historik),https://cs.wikipedia.org/wiki/Martin_Nejedl%C3%BD_(historik),"Martin Nejedlý (* 18. října 1964, Praha) je český historik středověku ovlivněný francouzskou školou Annales a žák Jacquese Le Goffa.[1] Specializuje se na dějiny 13.–15. století. V jejich rámci se soustředí především na středověkou literaturu a výtvarné umění jako historický pramen, pozdní křížové výpravy, středověké národy, cestování ve středověku, česko-francouzské vztahy,  imaginaci středověkého člověka a zvířata jako dějinný problém. Často vyučuje na francouzských, belgických a švýcarských univerzitách. Na Univerzitě Karlově vede mezinárodní a interdisciplinární česko-francouzský historický seminář. V nakladatelství Karolinum řídí ediční řadu Medievistika. Sleduje metody a témata současné francouzské historiografie. Je představitelem historické antropologie.[2]
",Historikové CZ,Historik
Lída Nopová,https://cs.wikipedia.org//wiki/L%C3%ADda_Nopov%C3%A1,"Lída Nopová (* 9. května 1947 v Domažlicích) je česká zpěvačka, klávesistka, hudební pedagožka, hudební skladatelka a aranžérka.
",Pop. zpěváci,Zpěvačka
Ibrahim Ferrer,https://cs.wikipedia.org//wiki/Ibrahim_Ferrer,"Ibrahim Ferrer Planas (20. února 1927, San Luís u Santiaga de Cuba, Kuba – 6. srpna 2005, Havana, Kuba) byl kubánský zpěvák stylů son, guaracha, bolero a latin jazz. Známý kubánský hudebník spoluúčinkoval na hudebním albu Buena Vista Social Club, které produkoval Ry Cooder a které získalo v roce 1998 cenu Grammy. Toto album a stejnojmenný dokumentární film natočený o rok později přinesly Ferrerovi v závěru jeho kariéry mezinárodní úspěch.
",Pop. zpěváci,Zpěvák
Zdeněk Srstka,https://cs.wikipedia.org/wiki/Zden%C4%9Bk_Srstka,"Zdeněk Srstka (26. září 1935 Praha – 29. července 2019 Praha) byl český sportovec – vzpěrač a zápasník, kaskadér, herec malých rolí a moderátor. V roce 2010 byl přijat do Síně slávy Českého svazu vzpírání.
",Moderátoři CZ,Sportovec
Igor Klebanov,https://cs.wikipedia.org//wiki/Igor_Klebanov,"Igor Romanovič Klebanov (*29. března 1962) je teoretický fyzik, jehož výzkum je zaměřen na vztahy mezi teorií strun a kvantovou kalibrační teorií pole. Od roku 1989 působí jako profesor na Princetonské univerzitě.[1]
V roce 2016 byl zvolen do Národní akademie věd.[2]
",Fyzikové,Fyzik
Ivo Danilevič,https://cs.wikipedia.org//wiki/Ivo_Danilevi%C4%8D,"Ivo Danilevič (* 10. dubna 1970 Jablonec nad Nisou) je bývalý český bobista. Ve dvojbobu jezdil s Romanem Gomolou, později s Janem Stokláskou.
",Olympionici cz,Bobista
Věra Trnková,https://cs.wikipedia.org//wiki/V%C4%9Bra_Trnkov%C3%A1,"Věra Trnková (16. března 1934 Berehovo – 27. května 2018) byla česká matematička známá svou prací v oblasti topologie a teorie kategorií.[1]
",Topologové,Matematička
Jana Komrsková (gymnastka),https://cs.wikipedia.org//wiki/Jana_Komrskov%C3%A1_(gymnastka),"Jana Komrsková (* 6. května 1983, Roudnice nad Labem) je bývalá česká sportovní gymnastka. Zúčastnila se olympijských her v Sydney 2000 a Aténách 2004.
",Olympionici cz,Gymnastka
Aleš Juchelka,https://cs.wikipedia.org/wiki/Ale%C5%A1_Juchelka,"Aleš Juchelka (* 18. dubna 1976 Ostrava) je český politik, moderátor, scenárista a dramaturg, od října 2017 poslanec Poslanecké sněmovny PČR zvolený jako nestraník za hnutí ANO 2011, předtím v letech 2010 až 2014 zastupitel města Ostravy za TOP 09. V červnu 2024 se stal místopředsedou Poslanecké sněmovny PČR.
",Moderátoři CZ,Politik
Gerald Guralnik,https://cs.wikipedia.org//wiki/Gerald_Guralnik,"Gerald Guralnik (17. září 1936 Cedar Falls, Iowa – 26. dubna 2014 Providence, Rhode Island) byl americký fyzik, profesor na Brownově univerzitě. V roce 1964 se podílel na objevu Higgsova mechanismu a Higgsova bosonu, v práci společně s C. R. Hagenem a Tomem Kibblem.[1][2][3][4][5][6] V rámci 50. výročí vzniku Physical Review Letters uznal tento časopis objev Higgsova mechanismu jako jeden z nejzásadnějších ve své historii.[7] I když se obecně uznává, že autorem nejkomplexnější práce je Peter Higgs, skupina Guralnika, Hagena a Kibbleho byla sporně opomenuta při udílení Nobelovy ceny v roce 2013.[8][9][10][11] Guralnik získal v roce 2010 Sakuraiovu cenu.[12]
",Fyzikové,Fyzik.
Radek Juška,https://cs.wikipedia.org//wiki/Radek_Ju%C5%A1ka,"Radek Juška (* 8. března 1993 Hustopeče) je český atlet, skokan do dálky. Na Univerziádě v Tchaj-peji 2017 vytvořil skokem dlouhým 831 cm nový český rekord.[1] Na Halovém mistrovství Evropy v atletice 2015 v Praze vybojoval stříbrnou medaili osobním rekordem 810 cm.[2]
",Olympionici cz,Atlet.
Sting,https://cs.wikipedia.org//wiki/Sting,"Gordon Matthew Thomas Sumner, CBE (* 2. října 1951), známý spíš pod svým uměleckým jménem Sting, je anglický hudebník a občasný herec z Newcastle upon Tyne. Než se v roce 1985 vydal na sólovou dráhu, byl hlavním zpěvákem, skladatelem, a baskytaristou rockové skupiny sedmdesátých až osmdesátých let The Police.
",Pop. zpěváci,Hudebník
Aleš Háma,https://cs.wikipedia.org/wiki/Ale%C5%A1_H%C3%A1ma,"Aleš Háma (* 6. května 1973 Karlovy Vary) je český herec, zpěvák, kytarista, moderátor a komik.
",Moderátoři CZ,Herec
Luigi Castellucci,https://cs.wikipedia.org/wiki/Luigi_Castellucci,"Luigi Castellucci (17. září 1797 Bitonto – 4. listopadu 1877) byl italský architekt a inženýr. Patřil k puglijským architektům 19. století. Jeho nejznámějším dílem je náhrobek Torquata Tassa.
",Italští architekti,Architekt.
Alice (italská zpěvačka),https://cs.wikipedia.org//wiki/Alice_(italsk%C3%A1_zp%C4%9Bva%C4%8Dka),"Alice (čti alíče, nar. 26. září 1954 Forlì, Itálie), známá též jako Alice Visconti, vlastním jménem Carla Bissi, je italská zpěvačka, textařka a pianistka. Věnuje se širokému rozpětí žánrů – pop, rock, jazz, klasická hudba, elektronická hudba či experimentální styly. Při zpěvu využívá velký rozsah svého hlasu, často střídá různé hlasové polohy, výšky i barvu.
",Pop. zpěváci,Zpěvačka.
Markéta Jeriová,https://cs.wikipedia.org//wiki/Mark%C3%A9ta_Jeriov%C3%A1,"Markéta Jeriová (* 10. června 1976 Chomutov) je bývalá česká sáňkařka.
",Olympionici cz,Sáňkařka
Eva Semotanová,https://cs.wikipedia.org/wiki/Eva_Semotanov%C3%A1,"Eva Semotanová (* 2. prosince 1952 Praha)[1] je česká vysokoškolská pedagožka, historička zabývající se historickou geografií, dějinami kartografie a srovnávacími dějinami měst.
",Historikové CZ,Pedagožka.
Tomáš Krejčíř,https://cs.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Krej%C4%8D%C3%AD%C5%99,"Tomáš Krejčíř (* 12. duben 1971 České Budějovice[1] ) je český herec a moderátor. Vystudoval DAMU a dále vystupoval v Ústí nad Labem na scéně Činoherního studia. Po nějaké době se zaměřil na práci v televizi, konkrétně v TV Prima. Po natočení první řady Rodinných pout přešel do TV Nova, kde dostal roli v seriálu Ordinace v růžové zahradě jako Roman Kříž. Poté moderoval spolu se Zorou Kepkovou Snídani s Novou. Pravidelně se objevuje i na Frekvenci 1.
",Moderátoři CZ,Herec
Ricky Martin,https://cs.wikipedia.org//wiki/Ricky_Martin,"Enrique Martín Morales[1] (* 24. prosince 1971 San Juan), známý pod uměleckým jménem Ricky Martin, je portorický zpěvák. Začínal jako člen chlapecké kapely Menudo, od roku 1991 působí jako sólový umělec.
",Pop. zpěváci,Zpěvák.
Li Čeng-tao,https://cs.wikipedia.org//wiki/Li_%C4%8Ceng-tao,"Tsung-Dao Lee (čínsky 李政道, Li Čeng-tao; pchin-jin: Li Zhengdao; 24. listopadu 1926, Šanghaj, Čína  – 4. srpna 2024 San Francisco, Spojené státy americké) byl americký vědec, nositel Nobelovy ceny za fyziku za rok 1957 za základní výzkum tzv. zákona zachování parity, což ho vedlo k významným objevům týkajícím se základních částic; Nobelovu cenu získal spolu s Jang Čen-ningem.
",Fyzikové,Vědec
Milan Perič (cyklista),https://cs.wikipedia.org//wiki/Milan_Peri%C4%8D_(cyklista),"Milan Perič (12. března 1928 – 4. května 1967) byl český cyklista. Účastnil se dvou závodů na Letních olympijských hrách 1952, na kterých se neumístil.[1] Byl synem cyklisty Antonína Periče, reprezentanta na Letních olympijských hrách 1924 a 1928.
Koncem třicátých let vypomáhal svému otci v jeho karlínské dílně vyrábět doplňky pro závodní kola.[2]
V roce 1949 se přidal k Armádnímu tělovýchodném klubu po boku například Jaroslava Šmída, Zdeňka Štěpánka, Jana Veselého, Vlastimila Růžičky či Vladimíra Koláře.[3] Reprezentoval i AC Sparta Praha,[4][5] například v hlavním závodě mužů v pátém ročníku závodu do vrchu 1947.[6] Byl trenérem týmů účastnících se Závodu míru.[7]
",Olympionici cz,cyklista
Arnolfo di Cambio,https://cs.wikipedia.org/wiki/Arnolfo_di_Cambio,"Arnolfo di Cambio (1245, Colle di Val d'Elsa – 1302, Florencie) byl italským sochařem a architektem.
",Italští architekti,Sochař.
Petr Hošťálek,https://cs.wikipedia.org/wiki/Petr_Ho%C5%A1%C5%A5%C3%A1lek,"Petr Hošťálek (* 8. srpna 1943 Mladá Boleslav) je český cestovatel a spisovatel.
",Cestovatelé CZ,Cestovatel
Canevalle,https://cs.wikipedia.org/wiki/Canevalle,"Canevalle (také Canevale nebo Canevalli) je příjmení rodiny italských barokních architektů a stavitelů, kteří pocházeli z Lanza v Lombardii a působili v 17. a 18. století v Praze, ve středních, severních a východních Čechách.
",Italští architekti,Architekt
Albert Abraham Michelson,https://cs.wikipedia.org//wiki/Albert_Abraham_Michelson,"Albert Abraham Michelson (19. prosince 1852, Strzelno – 9. května 1931, Pasadena) byl americký fyzik narozený v Polsku do židovské rodiny. V roce 1907 obdržel Nobelovu cenu za fyziku za své přesné optické přístroje a výzkum pomocí nich prováděný.
",Fyzikové,Fyzik
Jan Schmid,https://cs.wikipedia.org/wiki/Jan_Schmid,"Jan Schmid (14. června 1936 Tábor – 3. června 2024) byl český herec, režisér, kulturní publicista, textař, výtvarník, ilustrátor, scenárista, dramatik, moderátor, divadelní manažer a organizátor, divadelní pedagog, manžel herečky Jany Synkové a zakladatel Studia Ypsilon.
",Moderátoři CZ,Herec
Zdeněk Frolík,https://cs.wikipedia.org//wiki/Zden%C4%9Bk_Frol%C3%ADk,"Zdeněk Frolík (10. března 1933, Zlonice, Československo – 3. května 1989) byl český matematik, topolog a matematický analytik. Dosáhl řady výsledků v topologii, deskriptivní teorii množin a matematické analýze.
",Matematičtí analytici,Matematik
Donald Kessler,https://cs.wikipedia.org//wiki/Donald_Kessler,"Donald J. Kessler je americký astrofyzik a bývalý vědec NASA známý díky výzkumu týkajícímu se vesmírného odpadu.
",Fyzikové,Astrofyzik
Antonio Canevari,https://cs.wikipedia.org/wiki/Antonio_Canevari,"Antonio Canevari (1681, Řím – 1764, Neapol) byl italský vrcholně barokní architekt projektující v Římě, Lisabonu a Neapoli.
",Italští architekti,Architekt
